"subj" "num.languages" "L2.level" "L3.level" "L4.level" "L5.level" "morphology" "phonology" "syntax" "semantics" "average" "duration" "highest.level"
"220" 0 0 0 0 0 8 0 77.7777777777778 100 46.4444444444444 22.1499999915 0
"169" 1 1 0 0 0 72 100 88.8888888888889 100 90.2222222222222 22.5500000012 1
"203" 1 2 0 0 0 64 100 88.8888888888889 100 88.2222222222222 30.6833333394 2
"153" 2 2 1 0 0 60 0 55.5555555555556 94.4444444444444 52.5 42.4500000011 2
"154" 2 1 3 0 0 68 87.5 88.8888888888889 94.4444444444444 84.7083333333333 91.7166666593 3
"210" 2 3 2 0 0 76 100 88.8888888888889 100 91.2222222222222 35.8166666678 3
"165" 2 4 1 0 0 44 100 100 100 86 39.4166666712 4
"156" 2 4 2 0 0 60 100 100 100 90 44.5166666689 4
"148" 2 4 6 0 0 80 100 100 100 95 23.9666666638 6
"151" 3 3 2 1 0 80 100 100 100 95 41.7666666652 3
"146" 4 6 1 4 5 92 100 100 100 98 48.7333333364 6
