"cond" "item" "RT" "correct" "subj" "prime" "target"
"EE" "16" 934 TRUE 1 "E" "E"
"DD" "33" 1000 FALSE 1 "D" "D"
"DE" "8" 883 TRUE 1 "D" "E"
"DD" "2" 657 TRUE 1 "D" "D"
"DE" "9" 673 TRUE 1 "D" "E"
"DD" "24" 1000 FALSE 1 "D" "D"
"ED" "9" 729 TRUE 1 "E" "D"
"DE" "16" 937 TRUE 1 "D" "E"
"DD" "12" 532 TRUE 1 "D" "D"
"ED" "86" 709 TRUE 1 "E" "D"
"EE" "45" 1000 FALSE 1 "E" "E"
"DD" "16" 587 TRUE 1 "D" "D"
"ED" "12" 466 TRUE 1 "E" "D"
"DD" "19" 711 TRUE 1 "D" "D"
"DD" "13" 481 TRUE 1 "D" "D"
"EE" "9" 482 TRUE 1 "E" "E"
"EE" "4" 523 TRUE 1 "E" "E"
"DD" "38" 747 TRUE 1 "D" "D"
"DE" "61" 896 TRUE 1 "D" "E"
"ED" "19" 618 TRUE 1 "E" "D"
"EE" "14" 672 TRUE 1 "E" "E"
"DE" "74" 726 TRUE 1 "D" "E"
"EE" "20" 516 TRUE 1 "E" "E"
"DE" "12" 524 TRUE 1 "D" "E"
"EE" "46" 891 TRUE 1 "E" "E"
"DE" "68" 782 TRUE 1 "D" "E"
"ED" "4" 772 TRUE 1 "E" "D"
"EE" "56" 741 TRUE 1 "E" "E"
"ED" "92" 810 TRUE 1 "E" "D"
"DE" "63" 1000 FALSE 1 "D" "E"
"ED" "90" 978 TRUE 1 "E" "D"
"EE" "1" 1000 FALSE 1 "E" "E"
"DD" "22" 661 TRUE 1 "D" "D"
"DE" "17" 704 TRUE 1 "D" "E"
"DD" "26" 816 TRUE 1 "D" "D"
"EE" "8" 620 TRUE 1 "E" "E"
"DD" "29" 862 TRUE 1 "D" "D"
"EE" "48" 1000 FALSE 1 "E" "E"
"DD" "15" 492 TRUE 1 "D" "D"
"ED" "87" 715 TRUE 1 "E" "D"
"ED" "96" 626 TRUE 1 "E" "D"
"EE" "43" 820 FALSE 1 "E" "E"
"DD" "18" 512 TRUE 1 "D" "D"
"DD" "10" 547 TRUE 1 "D" "D"
"DE" "19" 813 TRUE 1 "D" "E"
"DD" "8" 520 TRUE 1 "D" "D"
"EE" "55" 1000 FALSE 1 "E" "E"
"DE" "5" 643 TRUE 1 "D" "E"
"DD" "6" 769 TRUE 1 "D" "D"
"DE" "64" 1000 FALSE 1 "D" "E"
"ED" "94" 875 TRUE 1 "E" "D"
"ED" "100" 787 TRUE 1 "E" "D"
"ED" "13" 469 TRUE 1 "E" "D"
"ED" "11" 481 TRUE 1 "E" "D"
"DD" "20" 458 TRUE 1 "D" "D"
"DE" "70" 756 TRUE 1 "D" "E"
"ED" "82" 746 TRUE 1 "E" "D"
"DE" "65" 703 TRUE 1 "D" "E"
"EE" "60" 858 TRUE 1 "E" "E"
"EE" "51" 848 TRUE 1 "E" "E"
"DE" "67" 846 TRUE 1 "D" "E"
"ED" "1" 687 TRUE 1 "E" "D"
"EE" "15" 555 TRUE 1 "E" "E"
"DD" "39" 853 TRUE 1 "D" "D"
"ED" "83" 1000 FALSE 1 "E" "D"
"DD" "11" 516 TRUE 1 "D" "D"
"ED" "16" 496 TRUE 1 "E" "D"
"DE" "11" 515 TRUE 1 "D" "E"
"DD" "4" 491 TRUE 1 "D" "D"
"DE" "7" 567 TRUE 1 "D" "E"
"DE" "73" 824 TRUE 1 "D" "E"
"DE" "4" 596 TRUE 1 "D" "E"
"EE" "49" 871 TRUE 1 "E" "E"
"ED" "88" 766 TRUE 1 "E" "D"
"DD" "5" 484 TRUE 1 "D" "D"
"ED" "10" 462 TRUE 1 "E" "D"
"ED" "6" 466 TRUE 1 "E" "D"
"DE" "80" 955 TRUE 1 "D" "E"
"ED" "20" 659 TRUE 1 "E" "D"
"EE" "2" 464 TRUE 1 "E" "E"
"DE" "20" 590 TRUE 1 "D" "E"
"ED" "7" 880 TRUE 1 "E" "D"
"DE" "76" 709 TRUE 1 "D" "E"
"ED" "84" 1000 FALSE 1 "E" "D"
"ED" "8" 425 TRUE 1 "E" "D"
"EE" "13" 498 TRUE 1 "E" "E"
"EE" "41" 703 TRUE 1 "E" "E"
"DD" "34" 717 TRUE 1 "D" "D"
"EE" "7" 479 TRUE 1 "E" "E"
"DE" "2" 530 TRUE 1 "D" "E"
"DE" "72" 799 TRUE 1 "D" "E"
"EE" "12" 459 TRUE 1 "E" "E"
"DD" "9" 441 TRUE 1 "D" "D"
"EE" "6" 807 TRUE 1 "E" "E"
"DE" "71" 905 TRUE 1 "D" "E"
"DE" "79" 961 TRUE 1 "D" "E"
"DE" "62" 1000 FALSE 1 "D" "E"
"EE" "44" 889 TRUE 1 "E" "E"
